,visibility,windBearing,temperature,dewPoint,pressure,apparentTemperature,windSpeed,humidity,energy
2011-11-23 09:00:00,4.39,229,4.84,4.68,1027.29,3.42,1.78,0.99,0.565
2011-11-23 10:00:00,6.24,233,5.74,5.46,1027.67,4.24,1.99,0.98,0.2513333333333333
2011-11-23 11:00:00,10.2,233,7.67,5.74,1027.56,5.94,2.66,0.88,0.30328571428571427
2011-11-23 12:00:00,11.62,234,8.84,6.52,1027.24,7.25,2.8,0.85,0.6983222233333333
2011-11-23 13:00:00,12.68,233,9.87,6.99,1027.35,8.29,3.12,0.82,0.5016410339743589
2011-11-23 14:00:00,12.25,232,10.36,7.75,1027.25,10.36,3.26,0.84,0.47569230769230764
2011-11-23 15:00:00,12.96,225,10.09,7.74,1027.37,10.09,3.04,0.85,0.3770769230769231
2011-11-23 16:00:00,12.02,210,9.84,7.53,1027.68,8.36,2.95,0.86,0.37438461538461537
2011-11-23 17:00:00,12.38,212,9.14,7.88,1027.75,7.74,2.58,0.92,0.4745384615384616
2011-11-23 18:00:00,11.68,209,9.12,7.51,1027.93,7.51,2.91,0.9,0.5231538461538461
2011-11-23 19:00:00,11.75,214,9.07,8.01,1028.25,7.36,3.06,0.93,0.7739230769230769
2011-11-23 20:00:00,11.06,209,8.69,7.67,1028.9,6.97,2.96,0.93,0.8618461615384614
2011-11-23 21:00:00,10.65,212,8.34,7.64,1028.88,6.56,2.95,0.95,0.6652307615384616
2011-11-23 22:00:00,9.9,217,8.24,7.98,1029.42,6.56,2.75,0.98,0.6026153846153847
2011-11-23 23:00:00,9.35,217,8.97,8.28,1029.62,7.28,2.98,0.95,0.4693846153846154
2011-11-24 00:00:00,8.88,217,9.01,8.33,1029.52,7.37,2.92,0.96,0.5253076846153847
2011-11-24 01:00:00,9.91,222,8.99,8.04,1029.4,7.51,2.67,0.94,0.5395384615384615
2011-11-24 02:00:00,9.27,215,8.56,7.97,1029.38,7.01,2.65,0.96,0.3317692307692308
2011-11-24 03:00:00,8.21,221,9.03,8.36,1029.18,7.32,3.05,0.96,0.2802307692307692
2011-11-24 04:00:00,8.93,215,8.78,8.19,1028.89,7.01,3.06,0.96,0.25684615384615384
2011-11-24 05:00:00,9.91,213,9.59,8.69,1029.07,8.05,2.96,0.94,0.22169230769230772
2011-11-24 06:00:00,8.26,209,9.08,8.25,1029.15,7.73,2.51,0.95,0.26246153846153847
2011-11-24 07:00:00,9.32,201,8.76,8.62,1029.11,7.41,2.43,0.99,0.3596923076923077
2011-11-24 08:00:00,9.22,195,9.36,8.72,1028.99,7.72,3.04,0.96,0.31948901098901106
2011-11-24 09:00:00,9.54,201,10.12,9.41,1029.01,10.12,3.36,0.95,0.33229670329670324
2011-11-24 10:00:00,10.59,202,10.99,9.93,1029.01,10.99,3.59,0.93,0.4235992647058824
2011-11-24 11:00:00,12.21,205,12.29,10.33,1028.46,12.29,4.35,0.88,0.38216666666666665
2011-11-24 12:00:00,12.89,206,12.93,9.78,1027.81,12.93,5.26,0.81,0.39772510822510826
2011-11-24 13:00:00,12.94,207,12.92,9.11,1027.2,12.92,5.66,0.78,0.4413234782608695
2011-11-24 14:00:00,13.39,206,12.87,8.57,1026.66,12.87,5.57,0.75,0.3964
2011-11-24 15:00:00,12.94,201,11.88,8.07,1026.19,11.88,4.79,0.77,0.40824
2011-11-24 16:00:00,12.44,202,11.06,7.17,1025.92,11.06,4.55,0.77,0.37104000000000004
2011-11-24 17:00:00,12.26,200,10.18,7.22,1025.61,10.18,4.53,0.82,0.53352
2011-11-24 18:00:00,11.06,199,9.64,7.59,1025.43,7.18,4.91,0.87,0.6304800000000002
2011-11-24 19:00:00,11.01,202,9.71,7.97,1025.21,7.3,4.82,0.89,0.678879996
2011-11-24 20:00:00,10.44,194,10.19,8.11,1024.52,10.19,4.92,0.87,0.6102
2011-11-24 21:00:00,10.46,192,10.41,8.58,1023.62,10.41,5.04,0.88,0.654440004
2011-11-24 22:00:00,10.72,198,11.22,9.12,1023.07,11.22,5.17,0.87,0.6601600000000001
