tstp,visibility,windBearing,temperature,dewPoint,pressure,apparentTemperature,windSpeed,humidity,energy,LCLid,wd
2011-11-23 09:00:00,4.39,229.0,4.84,4.68,1027.29,3.42,1.78,0.99,0.569,2,2
2011-11-23 09:30:00,5.3149999999999995,231.0,5.29,5.07,1027.48,3.83,1.885,0.985,0.5609999999999999,2,2
2011-11-23 10:00:00,6.24,233.0,5.74,5.46,1027.67,4.24,1.99,0.98,0.92,6,2
2011-11-23 10:30:00,8.219999999999999,233.0,6.705,5.6,1027.615,5.09,2.325,0.9299999999999999,0.5879999999999999,6,2
2011-11-23 11:00:00,10.2,233.0,7.67,5.74,1027.56,5.94,2.66,0.88,0.772,7,2
2011-11-23 11:30:00,10.91,233.5,8.254999999999999,6.13,1027.4,6.595000000000001,2.73,0.865,1.351,7,2
2011-11-23 12:00:00,11.62,234.0,8.84,6.52,1027.24,7.25,2.8,0.85,3.5480001,9,2
2011-11-23 12:30:00,12.149999999999999,233.5,9.355,6.755,1027.295,7.77,2.96,0.835,3.0409999,10,2
2011-11-23 13:00:00,12.68,233.0,9.87,6.99,1027.35,8.29,3.12,0.82,3.1000000999999995,12,2
2011-11-23 13:30:00,12.465,232.5,10.114999999999998,7.37,1027.3,9.325,3.19,0.83,3.163,13,2
2011-11-23 14:00:00,12.25,232.0,10.36,7.75,1027.25,10.36,3.26,0.84,3.431,13,2
2011-11-23 14:30:00,12.605,228.5,10.225,7.745,1027.31,10.225,3.15,0.845,2.7529999999999992,13,2
2011-11-23 15:00:00,12.96,225.0,10.09,7.74,1027.37,10.09,3.04,0.85,2.77,13,2
2011-11-23 15:30:00,12.49,217.5,9.965,7.635,1027.525,9.225,2.995,0.855,2.132,13,2
2011-11-23 16:00:00,12.02,210.0,9.84,7.53,1027.68,8.36,2.95,0.86,1.9089999999999998,13,2
2011-11-23 16:30:00,12.2,211.0,9.49,7.705,1027.7150000000001,8.05,2.765,0.89,2.958,13,2
2011-11-23 17:00:00,12.38,212.0,9.14,7.88,1027.75,7.74,2.58,0.92,3.077,13,2
2011-11-23 17:30:00,12.030000000000001,210.5,9.129999999999999,7.695,1027.8400000000001,7.625,2.745,0.91,3.0920000000000005,13,2
2011-11-23 18:00:00,11.68,209.0,9.12,7.51,1027.93,7.51,2.91,0.9,3.384,13,2
2011-11-23 18:30:00,11.715,211.5,9.094999999999999,7.76,1028.0900000000001,7.4350000000000005,2.9850000000000003,0.915,3.4170000000000003,13,2
2011-11-23 19:00:00,11.75,214.0,9.07,8.01,1028.25,7.36,3.06,0.93,4.599000000000001,13,2
2011-11-23 19:30:00,11.405000000000001,211.5,8.879999999999999,7.84,1028.575,7.165,3.01,0.93,5.461999999999999,13,2
2011-11-23 20:00:00,11.06,209.0,8.69,7.67,1028.9,6.97,2.96,0.93,5.745,13,2
2011-11-23 20:30:00,10.855,210.5,8.515,7.654999999999999,1028.89,6.765,2.955,0.94,5.459000099999999,13,2
2011-11-23 21:00:00,10.65,212.0,8.34,7.64,1028.88,6.56,2.95,0.95,4.5069999,13,2
2011-11-23 21:30:00,10.275,214.5,8.29,7.8100000000000005,1029.15,6.56,2.85,0.965,4.141,13,2
2011-11-23 22:00:00,9.9,217.0,8.24,7.98,1029.42,6.56,2.75,0.98,4.652,13,2
2011-11-23 22:30:00,9.625,217.0,8.605,8.129999999999999,1029.52,6.92,2.865,0.965,3.182000000000001,13,2
2011-11-23 23:00:00,9.35,217.0,8.97,8.28,1029.62,7.28,2.98,0.95,3.2310000000000003,13,2
2011-11-23 23:30:00,9.115,217.0,8.99,8.305,1029.57,7.325,2.95,0.955,2.8709999999999996,13,2
2011-11-24 00:00:00,8.88,217.0,9.01,8.33,1029.52,7.37,2.92,0.96,2.5969999999999995,13,3
2011-11-24 00:30:00,9.395,219.5,9.0,8.184999999999999,1029.46,7.4399999999999995,2.795,0.95,4.231999900000001,13,3
2011-11-24 01:00:00,9.91,222.0,8.99,8.04,1029.4,7.51,2.67,0.94,3.5100000000000002,13,3
