,visibility,windBearing,temperature,dewPoint,pressure,apparentTemperature,windSpeed,humidity,summary,av_kWh/hh
2011-12-11 00:00:00,12.5,210,2.83,1.17,1015.67,1.11,1.78,0.89,8,0.49591542437810937
2011-12-11 01:00:00,12.65,204,2.48,0.81,1014.96,0.31,2.11,0.89,4,0.44331840796019917
2011-12-11 02:00:00,13.02,214,2.7,1.29,1014.42,0.11,2.57,0.9,4,0.3473532338308458
2011-12-11 03:00:00,13.05,211,3.47,1.41,1013.78,0.66,3.0,0.86,8,0.31540796069651755
2011-12-11 04:00:00,12.97,204,3.74,1.53,1012.94,1.29,2.64,0.85,8,0.27858208955223884
2011-12-11 05:00:00,12.68,201,4.23,2.48,1012.42,1.82,2.7,0.88,6,0.2976865666666669
2011-12-11 06:00:00,12.54,199,5.16,3.01,1011.74,3.03,2.57,0.86,6,0.3344278611940299
2011-12-11 07:00:00,12.5,198,4.98,3.13,1011.26,2.39,3.12,0.88,8,0.3350796029850746
2011-12-11 08:00:00,12.01,190,5.79,3.73,1010.85,3.13,3.48,0.87,6,0.4188557208955224
2011-12-11 09:00:00,12.57,194,6.43,4.85,1010.44,3.72,3.79,0.9,8,0.5512388064676617
2011-12-11 10:00:00,12.54,195,7.05,5.44,1009.82,4.1,4.55,0.9,8,0.57693532238806
2011-12-11 11:00:00,12.73,197,7.97,6.02,1009.13,4.95,5.23,0.88,6,0.5961840810945274
2011-12-11 12:00:00,11.7,197,8.06,6.04,1007.99,4.78,6.02,0.87,6,0.733179104477612
2011-12-11 13:00:00,13.16,194,8.56,5.92,1006.74,5.44,5.9,0.83,6,0.7346417940298505
2011-12-11 14:00:00,12.17,196,8.59,5.02,1005.74,5.36,6.27,0.78,6,0.7020447791044777
2011-12-11 15:00:00,12.04,189,8.49,4.76,1004.93,5.28,6.12,0.77,6,0.7311194054726373
2011-12-11 16:00:00,11.27,190,8.04,5.53,1004.05,4.82,5.82,0.84,6,0.6988407935323385
2011-12-11 17:00:00,10.99,186,7.92,6.07,1003.19,4.6,6.02,0.88,6,0.7738656686567162
2011-12-11 18:00:00,9.95,183,8.11,6.13,1002.05,4.93,5.74,0.87,6,0.826199005472637
2011-12-11 19:00:00,8.96,185,8.46,6.68,1001.3,5.62,5.11,0.89,6,0.82079602039801
2011-12-11 20:00:00,9.56,190,8.09,7.38,1000.71,5.72,3.88,0.95,6,0.7606666666666664
2011-12-11 21:00:00,12.04,214,7.23,6.56,1000.3,5.32,2.8,0.95,8,0.7122537313432836
2011-12-11 22:00:00,13.24,234,7.1,6.42,1000.21,4.91,3.19,0.95,8,0.6624875621890547
2011-12-11 23:00:00,13.18,257,7.09,6.31,1000.37,4.61,3.67,0.95,8,0.5086169154228855
2011-12-27 00:00:00,14.13,240,10.21,5.41,1033.79,10.21,5.68,0.72,6,0.44820370343915367
2011-12-27 01:00:00,13.6,242,10.21,5.39,1033.52,10.21,5.06,0.72,7,0.3833174595238095
2011-12-27 02:00:00,13.76,240,10.33,5.44,1033.17,10.33,4.85,0.72,7,0.29921693068783045
2011-12-27 03:00:00,14.13,248,10.24,5.33,1033.62,10.24,5.3,0.72,7,0.27133068809523814
2011-12-27 04:00:00,13.6,253,10.22,5.38,1033.88,10.22,4.88,0.72,7,0.2435449738095238
2011-12-27 05:00:00,13.6,253,10.22,5.4,1033.87,10.22,4.68,0.72,7,0.2447275132275132
2011-12-27 06:00:00,13.6,243,10.22,5.42,1033.97,10.22,4.51,0.72,7,0.27557142857142847
2011-12-27 07:00:00,13.5,241,9.81,5.51,1034.17,8.04,3.44,0.75,7,0.3184153436507937
2011-12-27 08:00:00,13.28,243,9.79,5.51,1034.37,8.27,3.0,0.75,6,0.34565079365079354
2011-12-27 09:00:00,13.07,237,10.15,5.48,1034.93,10.15,2.88,0.73,6,0.4153492055555551
2011-12-27 10:00:00,13.07,232,10.26,5.51,1035.08,10.26,2.8,0.72,6,0.4737566140211641
2011-12-27 11:00:00,13.07,237,10.23,5.53,1034.93,10.23,3.13,0.73,6,0.5227010582010585
2011-12-27 12:00:00,13.07,228,10.33,5.12,1034.25,10.33,2.99,0.7,6,0.5357063492063494
2011-12-27 13:00:00,13.07,234,10.33,5.46,1033.73,10.33,2.99,0.72,6,0.554486772751323
2011-12-27 14:00:00,13.52,224,10.33,5.47,1033.13,10.33,2.76,0.72,6,0.5765396820105818
2011-12-27 15:00:00,13.07,210,10.26,5.49,1032.74,10.26,2.87,0.72,6,0.5370978841269843
2011-12-27 16:00:00,13.07,208,10.13,5.89,1032.26,10.13,3.17,0.75,6,0.5690555550264551
2011-12-27 17:00:00,13.52,204,10.06,5.22,1031.9,10.06,3.25,0.72,6,0.6562804230158734
2011-12-27 18:00:00,13.07,198,9.61,5.94,1031.53,7.7,3.64,0.78,6,0.6664153436507938
2011-12-27 19:00:00,13.07,193,9.49,5.54,1031.14,7.31,4.15,0.76,6,0.7154470915343915
2011-12-27 20:00:00,14.0,194,9.07,5.08,1030.46,6.81,4.1,0.76,6,0.6749761915343915
2011-12-27 21:00:00,13.5,189,8.54,5.37,1029.46,6.22,3.98,0.8,6,0.6357328042328048
2011-12-27 22:00:00,13.2,190,8.07,5.49,1028.61,5.59,4.09,0.84,6,0.5904365089947093
2011-12-27 23:00:00,12.83,188,8.03,5.87,1027.66,5.7,3.77,0.86,6,0.5030846550264552
2011-12-02 00:00:00,12.59,281,6.61,4.73,1006.65,5.31,1.92,0.88,8,0.343170001
2011-12-02 01:00:00,10.22,291,5.75,4.68,1007.38,4.48,1.77,0.93,4,0.30446999899999994
2011-12-02 02:00:00,10.11,276,5.05,4.11,1008.2,3.23,2.21,0.94,4,0.24157999999999993
2011-12-02 03:00:00,10.06,279,4.55,3.57,1008.95,3.04,1.82,0.93,4,0.21030000000000007
2011-12-02 04:00:00,10.96,270,3.99,2.92,1009.87,2.4,1.81,0.93,4,0.20349999999999993
2011-12-02 05:00:00,11.02,270,3.9,2.78,1011.03,1.89,2.19,0.92,4,0.23110000000000003
2011-12-02 06:00:00,9.38,251,2.71,2.08,1011.84,0.85,1.87,0.96,4,0.2757099990000001
2011-12-02 07:00:00,9.43,257,2.56,2.31,1012.51,0.46,2.06,0.98,4,0.353430001
2011-12-02 08:00:00,10.85,248,2.82,2.21,1013.6,0.86,1.97,0.96,4,0.44734000000000007
2011-12-02 09:00:00,11.1,247,3.2,2.88,1014.49,1.21,2.06,0.98,4,0.428450002
2011-12-02 10:00:00,12.47,243,4.58,3.59,1015.09,2.63,2.25,0.93,8,0.45067999999999986
2011-12-02 11:00:00,12.81,247,6.82,3.73,1015.37,4.74,2.93,0.81,8,0.43446999999999997
2011-12-02 12:00:00,12.84,241,7.36,3.84,1015.28,5.33,3.02,0.78,6,0.3824200010000001
2011-12-02 13:00:00,13.04,226,7.07,4.29,1015.17,4.93,3.08,0.82,8,0.41235000000000005
2011-12-02 14:00:00,13.04,224,7.22,4.26,1014.58,4.88,3.46,0.81,8,0.41063000000000005
2011-12-02 15:00:00,12.97,221,6.94,3.58,1014.38,4.46,3.62,0.79,8,0.46760999999999997
2011-12-02 16:00:00,13.02,216,6.36,3.24,1014.15,3.85,3.45,0.8,8,0.49767000100000003
2011-12-02 17:00:00,12.44,219,6.26,3.21,1013.9,3.53,3.78,0.81,8,0.5810199990000001
2011-12-02 18:00:00,12.86,212,6.34,3.57,1013.4,3.48,4.05,0.82,8,0.6493200000000001
2011-12-02 19:00:00,12.26,214,6.33,4.04,1012.83,3.26,4.45,0.85,6,0.6716600020000003
2011-12-02 20:00:00,12.33,216,7.33,4.11,1012.06,4.22,5.07,0.8,6,0.6168200000000001
2011-12-02 21:00:00,12.78,222,7.78,3.86,1011.25,4.41,6.05,0.76,8,0.5947100000000002
2011-12-02 22:00:00,13.24,214,7.61,4.97,1010.21,4.04,6.5,0.83,8,0.50024
2011-12-02 23:00:00,13.53,211,8.07,6.09,1008.62,4.63,6.46,0.87,8,0.43726000000000004
2011-12-24 00:00:00,13.79,291,5.23,1.48,1022.65,0.97,6.56,0.77,8,0.4875714296296297
2011-12-24 01:00:00,13.21,288,5.09,1.41,1023.64,0.88,6.33,0.77,8,0.4338174595238097
2011-12-24 02:00:00,13.44,284,4.66,0.94,1025.02,0.37,6.24,0.77,4,0.33888888862433864
2011-12-24 03:00:00,13.87,289,4.59,0.51,1026.26,0.58,5.51,0.75,4,0.314074074074074
2011-12-24 04:00:00,13.81,289,4.22,0.5,1027.0,0.56,4.6,0.77,4,0.2721084653439154
2011-12-24 05:00:00,13.15,285,3.73,0.48,1027.89,-0.14,4.78,0.79,4,0.2787169309523811
2011-12-24 06:00:00,12.79,272,3.64,0.5,1028.78,0.14,4.08,0.8,4,0.2902962962962962
2011-12-24 07:00:00,12.79,258,3.17,0.54,1029.6,-0.51,4.19,0.83,8,0.3782222219576722
2011-12-24 08:00:00,13.16,249,3.52,0.9,1030.27,0.11,3.89,0.83,6,0.4190423280423281
